och;och;normal;och;och;6
vi;vi;normal;vi;vi;8
på;på;normal;på;på;9
vad;vad;normal;vad;vad;13
vads;vads;form;vad;vad;13
vadets;vadets;form;vad;vad;13
vadens;vadens;form;vad;vad;13
vadernas;vadernas;form;vad;vad;13
med;med;normal;med;med;14
meds;meds;form;med;med;14
medars;medars;form;med;med;14
medarnas;medarnas;form;med;med;14
mig;mig;normal;mig;mig;15
som;som;normal;som;som;16
om;om;normal;om;om;18
var;var;normal;var;var;20
varet;varet;form;var;var;20
varets;varets;form;var;var;20
så;så;normal;så;så;22
såar;såar;form;så;så;22
såarna;såarna;form;så;så;22
såns;såns;form;så;så;22
såars;såars;form;så;så;22
såarnas;såarnas;form;så;så;22
såddes;såddes;form;så;så;22
sående;sående;form;så;så;22
till;till;normal;till;till;23
ni;ni;normal;ni;ni;26
ska;ska;normal;ska;ska;27
men;men;normal;men;men;29
menet;menet;form;men;men;29
menen;menen;form;men;men;29
menets;menets;form;men;men;29
menens;menens;form;men;men;29
vill;vill;normal;vill;vill;31
nu;nu;normal;nu;nu;32
vet;vet;normal;vet;vet;34
nej;nej;normal;nej;nej;35
nejet;nejet;form;nej;nej;35
nejs;nejs;form;nej;nej;35
nejets;nejets;form;nej;nej;35
min;min;normal;min;min;40
måste;måste;normal;måste;måste;45
måstet;måstet;form;måste;måste;45
måsten;måsten;form;måste;måste;45
måstena;måstena;form;måste;måste;45
måstes;måstes;form;måste;måste;45
måstets;måstets;form;måste;måste;45
måstens;måstens;form;måste;måste;45
måstenas;måstenas;form;måste;måste;45
skulle;skulle;normal;skulle;skulle;47
skullar;skullar;form;skulle;skulle;47
skullarna;skullarna;form;skulle;skulle;47
skulles;skulles;form;skulle;skulle;47
skullens;skullens;form;skulle;skulle;47
skullars;skullars;form;skulle;skulle;47
skullarnas;skullarnas;form;skulle;skulle;47
när;när;normal;när;när;50
ta;ta;normal;ta;ta;53
tagande;tagande;form;ta;ta;53
ut;ut;normal;ut;ut;54
vara;vara;normal;vara;vara;57
varas;varas;form;vara;vara;57
varats;varats;form;vara;vara;57
varans;varans;form;vara;vara;57
varors;varors;form;vara;vara;57
varornas;varornas;form;vara;vara;57
varades;varades;form;vara;vara;57
oss;oss;normal;oss;oss;58
varför;varför;normal;varför;varför;62
okej;okej;normal;okej;okej;65
upp;upp;normal;upp;upp;66
tror;tror;normal;tror;tror;67
tack;tack;normal;tack;tack;70
tacket;tacket;form;tack;tack;70
tacken;tacken;form;tack;tack;70
tacks;tacks;form;tack;tack;70
tackets;tackets;form;tack;tack;70
tackens;tackens;form;tack;tack;70
sa;sa;normal;sa;sa;71
sig;sig;normal;sig;sig;75
se;se;normal;se;se;76
mycket;mycket;normal;mycket;mycket;81
vem;vem;normal;vem;vem;82
ser;ser;normal;ser;ser;84
mitt;mitt;normal;mitt;mitt;85
mitts;mitts;form;mitt;mitt;85
jag;jag;form;mitt;mitt;85
du;du;form;mitt;mitt;85
dig;dig;form;mitt;mitt;85
dej;dej;form;mitt;mitt;85
din;din;form;mitt;mitt;85
ditt;ditt;form;mitt;mitt;85
dina;dina;form;mitt;mitt;85
han;han;form;mitt;mitt;85
honom;honom;form;mitt;mitt;85
hans;hans;form;mitt;mitt;85
hon;hon;form;mitt;mitt;85
henne;henne;form;mitt;mitt;85
hennes;hennes;form;mitt;mitt;85
hen;hen;form;mitt;mitt;85
henom;henom;form;mitt;mitt;85
hens;hens;form;mitt;mitt;85
den;den;form;mitt;mitt;85
dess;dess;form;mitt;mitt;85
det;det;form;mitt;mitt;85
man;man;form;mitt;mitt;85
en;en;form;mitt;mitt;85
ens;ens;form;mitt;mitt;85
er;er;form;mitt;mitt;85
eran;eran;form;mitt;mitt;85
ers;ers;form;mitt;mitt;85
ert;ert;form;mitt;mitt;85
erat;erat;form;mitt;mitt;85
era;era;form;mitt;mitt;85
I;I;form;mitt;mitt;85
eder;eder;form;mitt;mitt;85
eders;eders;form;mitt;mitt;85
edert;edert;form;mitt;mitt;85
edra;edra;form;mitt;mitt;85
de;de;form;mitt;mitt;85
dom;dom;form;mitt;mitt;85
dem;dem;form;mitt;mitt;85
deras;deras;form;mitt;mitt;85
nåt;nåt;normal;nåt;nåt;91
nåten;nåten;form;nåt;nåt;91
nåtar;nåtar;form;nåt;nåt;91
nåtarna;nåtarna;form;nåt;nåt;91
nåts;nåts;form;nåt;nåt;91
nåtens;nåtens;form;nåt;nåt;91
nåtars;nåtars;form;nåt;nåt;91
nåtarnas;nåtarnas;form;nåt;nåt;91
än;än;normal;än;än;93
något;något;normal;något;något;97
två;två;normal;två;två;99
tvådde;tvådde;form;två;två;99
tvåddes;tvåddes;form;två;två;99
tvått;tvått;form;två;två;99
tvåtts;tvåtts;form;två;två;99
tvående;tvående;form;två;två;99
tvådd;tvådd;form;två;två;99
tar;tar;normal;tar;tar;100
tillbaka;tillbaka;normal;tillbaka;tillbaka;101
över;över;normal;över;över;103
säger;säger;normal;säger;säger;104
sen;sen;normal;sen;sen;105
sene;sene;form;sen;sen;105
mer;mer;normal;mer;mer;107
någon;någon;normal;någon;någon;110
mina;mina;normal;mina;mina;111
ner;ner;normal;ner;ner;112
åt;åt;normal;åt;åt;113
väl;väl;normal;väl;väl;115
vänta;vänta;normal;vänta;vänta;116
väntats;väntats;form;vänta;vänta;116
också;också;normal;också;också;117
nån;nån;normal;nån;nån;119
säga;säga;normal;säga;säga;120
sägande;sägande;form;säga;säga;120
år;år;normal;år;år;122
varit;varit;normal;varit;varit;125
nog;nog;normal;nog;nog;128
pappa;pappa;normal;pappa;pappa;129
mot;mot;normal;mot;mot;133
motet;motet;form;mot;mot;133
moten;moten;form;mot;mot;133
mots;mots;form;mot;mot;133
motets;motets;form;mot;mot;133
motens;motens;form;mot;mot;133
vid;vid;normal;vid;vid;134
vidast;vidast;form;vid;vid;134
vidaste;vidaste;form;vid;vid;134
några;några;normal;några;några;136
rätt;rätt;normal;rätt;rätt;138
rättast;rättast;form;rätt;rätt;138
rättaste;rättaste;form;rätt;rätt;138
rätters;rätters;form;rätt;rätt;138
rätternas;rätternas;form;rätt;rätt;138
menar;menar;normal;menar;menar;140
själv;själv;normal;själv;själv;141
självet;självet;form;själv;själv;141
självs;självs;form;själv;själv;141
självets;självets;form;själv;själv;141
va;va;normal;va;va;142
ville;ville;normal;ville;ville;147
såg;såg;normal;såg;såg;148
sågarna;sågarna;form;såg;såg;148
sågens;sågens;form;såg;såg;148
sågars;sågars;form;såg;såg;148
sågarnas;sågarnas;form;såg;såg;148
verkligen;verkligen;normal;verkligen;verkligen;150
titta;titta;normal;titta;titta;151
tittas;tittas;form;titta;titta;151
tittades;tittades;form;titta;titta;151
tittats;tittats;form;titta;titta;151
utan;utan;normal;utan;utan;153
tre;tre;normal;tre;tre;155
visst;visst;normal;visst;visst;156
prata;prata;normal;prata;prata;157
pratad;pratad;form;prata;prata;157
vår;vår;normal;vår;vår;158
sätt;sätt;normal;sätt;sätt;161
sättets;sättets;form;sätt;sätt;161
sättens;sättens;form;sätt;sätt;161
tog;tog;normal;tog;tog;162
älskar;älskar;normal;älskar;älskar;163
tid;tid;normal;tid;tid;167
tycker;tycker;normal;tycker;tycker;168
sluta;sluta;normal;sluta;sluta;169
slutande;slutande;form;sluta;sluta;169
slutes;slutes;form;sluta;sluta;169
slöts;slöts;form;sluta;sluta;169
trodde;trodde;normal;trodde;trodde;170
precis;precis;normal;precis;precis;171
säg;säg;normal;säg;säg;172
sin;sin;normal;sin;sin;179
tänker;tänker;normal;tänker;tänker;180
veta;veta;normal;veta;veta;182
många;många;normal;många;många;185
under;under;normal;under;under;192
undrets;undrets;form;under;under;192
visste;visste;normal;visste;visste;194
sett;sett;normal;sett;sett;195
pengar;pengar;normal;pengar;pengar;199
snälla;snälla;normal;snälla;snälla;202
ursäkta;ursäkta;normal;ursäkta;ursäkta;204
ursäktades;ursäktades;form;ursäkta;ursäkta;204
ursäktats;ursäktats;form;ursäkta;ursäkta;204
vart;vart;normal;vart;vart;208
stanna;stanna;normal;stanna;stanna;211
stannas;stannas;form;stanna;stanna;211
stannades;stannades;form;stanna;stanna;211
stannats;stannats;form;stanna;stanna;211
vilken;vilken;normal;vilken;vilken;213
står;står;normal;står;står;214
saker;saker;normal;saker;saker;215
åh;åh;normal;åh;åh;221
ur;ur;normal;ur;ur;223
urets;urets;form;ur;ur;223
urens;urens;form;ur;ur;223
sak;sak;normal;sak;sak;224
problem;problem;normal;problem;problem;226
problemens;problemens;form;problem;problem;226
morgon;morgon;normal;morgon;morgon;227
morgons;morgons;form;morgon;morgon;227
morgnars;morgnars;form;morgon;morgon;227
morgnarnas;morgnarnas;form;morgon;morgon;227
vän;vän;normal;vän;vän;230
vänast;vänast;form;vän;vän;230
väne;väne;form;vän;vän;230
vänaste;vänaste;form;vän;vän;230
våra;våra;normal;våra;våra;231
väg;väg;normal;väg;väg;232
vägars;vägars;form;väg;väg;232
mår;mår;normal;mår;mår;236
samma;samma;normal;samma;samma;237
vägen;vägen;normal;vägen;vägen;238
namn;namn;normal;namn;namn;239
namnets;namnets;form;namn;namn;239
namnens;namnens;form;namn;namn;239
ute;ute;normal;ute;ute;242
väldigt;väldigt;normal;väldigt;väldigt;247
snart;snart;normal;snart;snart;248
sitt;sitt;normal;sitt;sitt;250
sedan;sedan;normal;sedan;sedan;251
sedanen;sedanen;form;sedan;sedan;251
sedaner;sedaner;form;sedan;sedan;251
sedanerna;sedanerna;form;sedan;sedan;251
sedanens;sedanens;form;sedan;sedan;251
