och;och;och
vi;vi;vi
på;på;på
vad;vad;vad
vads;vads;vad
vadets;vadets;vad
vadens;vadens;vad
vadernas;vadernas;vad
med;med;med
meds;meds;med
medars;medars;med
medarnas;medarnas;med
mig;mig;mig
som;som;som
om;om;om
var;var;var
varet;varet;var
varets;varets;var
så;så;så
såar;såar;så
såarna;såarna;så
såns;såns;så
såars;såars;så
såarnas;såarnas;så
såddes;såddes;så
sående;sående;så
till;till;till
ni;ni;ni
ska;ska;ska
men;men;men
menet;menet;men
menen;menen;men
menets;menets;men
menens;menens;men
vill;vill;vill
nu;nu;nu
vet;vet;vet
nej;nej;nej
nejet;nejet;nej
nejs;nejs;nej
nejets;nejets;nej
min;min;min
måste;måste;måste
måstet;måstet;måste
måsten;måsten;måste
måstena;måstena;måste
måstes;måstes;måste
måstets;måstets;måste
måstens;måstens;måste
måstenas;måstenas;måste
skulle;skulle;skulle
skullar;skullar;skulle
skullarna;skullarna;skulle
skulles;skulles;skulle
skullens;skullens;skulle
skullars;skullars;skulle
skullarnas;skullarnas;skulle
när;när;när
ta;ta;ta
tagande;tagande;ta
ut;ut;ut
vara;vara;vara
varas;varas;vara
varats;varats;vara
varans;varans;vara
varors;varors;vara
varornas;varornas;vara
varades;varades;vara
oss;oss;oss
varför;varför;varför
okej;okej;okej
upp;upp;upp
tror;tror;tror
tack;tack;tack
tacket;tacket;tack
tacken;tacken;tack
tacks;tacks;tack
tackets;tackets;tack
tackens;tackens;tack
sa;sa;sa
sig;sig;sig
se;se;se
mycket;mycket;mycket
vem;vem;vem
ser;ser;ser
mitt;mitt;mitt
mitts;mitts;mitt
jag;jag;mitt
du;du;mitt
dig;dig;mitt
dej;dej;mitt
din;din;mitt
ditt;ditt;mitt
dina;dina;mitt
han;han;mitt
honom;honom;mitt
hans;hans;mitt
hon;hon;mitt
henne;henne;mitt
hennes;hennes;mitt
hen;hen;mitt
henom;henom;mitt
hens;hens;mitt
den;den;mitt
dess;dess;mitt
det;det;mitt
man;man;mitt
en;en;mitt
ens;ens;mitt
er;er;mitt
eran;eran;mitt
ers;ers;mitt
ert;ert;mitt
erat;erat;mitt
era;era;mitt
I;I;mitt
eder;eder;mitt
eders;eders;mitt
edert;edert;mitt
edra;edra;mitt
de;de;mitt
dom;dom;mitt
dem;dem;mitt
deras;deras;mitt
nåt;nåt;nåt
nåten;nåten;nåt
nåtar;nåtar;nåt
nåtarna;nåtarna;nåt
nåts;nåts;nåt
